# Job started on: Mon Nov 14 23:30:39 CET 2016 .....
# FONLL heavy quark hadroproduction cross section, calculated on Mon Nov 14 23:31:28 CET 2016
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 1
# ebeam1 = 3500, ebeam2 = 3500
# PDF set = CTEQ6.6
# ptmin = 0.25
# ptmax = 49.75
# etamin = -1
# etamax = 1
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   0.2500 2.4610e+07 7.5090e+06 8.3019e+07 1.2507e+07 8.1906e+07 2.0471e+07 2.4610e+07 1.3260e+07 3.5961e+07
   0.7500 1.6344e+08 2.5942e+07 4.5522e+08 4.3390e+07 4.4804e+08 1.2663e+08 1.9507e+08 1.0742e+08 2.1946e+08
   1.2500 2.9301e+08 2.3960e+07 7.3795e+08 4.6839e+07 7.1816e+08 2.1375e+08 4.0125e+08 2.1882e+08 3.6721e+08
   1.7500 3.0430e+08 3.1332e+07 7.0131e+08 5.0404e+07 6.7977e+08 2.2472e+08 4.1798e+08 2.4335e+08 3.6525e+08
   2.2500 2.4688e+08 5.2862e+07 5.2603e+08 6.6753e+07 5.0999e+08 1.8794e+08 3.3038e+08 2.0538e+08 2.8838e+08
   2.7500 1.8113e+08 5.7610e+07 3.6145e+08 6.7054e+07 3.5086e+08 1.4196e+08 2.3587e+08 1.5449e+08 2.0777e+08
   3.2500 1.2815e+08 5.1012e+07 2.4222e+08 5.7273e+07 2.3542e+08 1.0288e+08 1.6305e+08 1.1118e+08 1.4512e+08
   3.7500 8.9780e+07 4.1660e+07 1.6215e+08 4.5834e+07 1.5776e+08 7.3506e+07 1.1206e+08 7.8850e+07 1.0071e+08
   4.2500 6.3103e+07 3.2828e+07 1.0960e+08 3.5642e+07 1.0675e+08 5.2563e+07 7.7428e+07 5.5936e+07 7.0270e+07
   4.7500 4.4829e+07 2.5441e+07 7.5258e+07 2.7361e+07 7.3396e+07 3.7923e+07 5.4145e+07 4.0024e+07 4.9635e+07
   5.2500 3.2311e+07 1.9652e+07 5.2642e+07 2.0991e+07 5.1402e+07 2.7703e+07 3.8479e+07 2.9017e+07 3.5606e+07
   5.7500 2.3634e+07 1.5189e+07 3.7499e+07 1.6137e+07 3.6657e+07 2.0504e+07 2.7795e+07 2.1326e+07 2.5941e+07
   6.2500 1.7532e+07 1.1787e+07 2.7177e+07 1.2472e+07 2.6593e+07 1.5368e+07 2.0397e+07 1.5884e+07 1.9181e+07
   6.7500 1.3181e+07 9.0743e+06 2.0001e+07 9.5593e+06 1.9588e+07 1.1661e+07 1.5188e+07 1.1983e+07 1.4380e+07
