# Job started on: Wed Nov 16 17:12:57 CET 2016 ......
# FONLL heavy quark hadroproduction cross section, calculated on Wed Nov 16 17:13:47 CET 2016
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = meson (meson = D0). NP params (cm,lm,hm) = 0.1, 0.06, 0.135
# BR(q->meson) = 0.557
# ebeam1 = 3500, ebeam2 = 3500
# PDF set = CTEQ6.6
# ptmin = 0.25
# ptmax = 49.75
# ymin  = -0.5
# ymax  = 0.5
# Uncertainties from scales, masses, PDFs combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass     min_pdf    max_pdf
   0.2500 3.5720e+07 9.7542e+06 1.2052e+08 1.8150e+07 1.1891e+08 2.5941e+07 3.6016e+07 1.9292e+07 5.2149e+07
   0.7500 9.0321e+07 1.5900e+07 2.5077e+08 2.3977e+07 2.4760e+08 7.6964e+07 9.7370e+07 5.9359e+07 1.2128e+08
   1.2500 1.1753e+08 1.1128e+07 2.9373e+08 1.8707e+07 2.8806e+08 9.1732e+07 1.5035e+08 8.7700e+07 1.4736e+08
   1.7500 1.0582e+08 1.1831e+07 2.4217e+08 1.7442e+07 2.3638e+08 8.1929e+07 1.3885e+08 8.4544e+07 1.2709e+08
   2.2500 7.9795e+07 1.7604e+07 1.6908e+08 2.1499e+07 1.6483e+08 6.2834e+07 1.0344e+08 6.6320e+07 9.3270e+07
   2.7500 5.6169e+07 1.8139e+07 1.1161e+08 2.0734e+07 1.0880e+08 4.5136e+07 7.1474e+07 4.7869e+07 6.4470e+07
   3.2500 3.8749e+07 1.5568e+07 7.2995e+07 1.7275e+07 7.1185e+07 3.1705e+07 4.8450e+07 3.3592e+07 4.3907e+07
   3.7500 2.6707e+07 1.2469e+07 4.8105e+07 1.3605e+07 4.6930e+07 2.2194e+07 3.2888e+07 2.3439e+07 2.9975e+07
   4.2500 1.8565e+07 9.7001e+06 3.2173e+07 1.0466e+07 3.1407e+07 1.5650e+07 2.2536e+07 1.6446e+07 2.0685e+07
   4.7500 1.3087e+07 7.4502e+06 2.1931e+07 7.9736e+06 2.1428e+07 1.1180e+07 1.5669e+07 1.1677e+07 1.4498e+07
   5.2500 9.3806e+06 5.7185e+06 1.5260e+07 6.0840e+06 1.4923e+07 8.1083e+06 1.1090e+07 8.4191e+06 1.0342e+07
   5.7500 6.8332e+06 4.3990e+06 1.0828e+07 4.6586e+06 1.0599e+07 5.9690e+06 7.9871e+06 6.1624e+06 7.5039e+06
   6.2500 5.0535e+06 3.4020e+06 7.8252e+06 3.5899e+06 7.6654e+06 4.4558e+06 5.8483e+06 4.5758e+06 5.5312e+06
   6.7500 3.7905e+06 2.6151e+06 5.7464e+06 2.7489e+06 5.6330e+06 3.3703e+06 4.3478e+06 3.4440e+06 4.1370e+06
   7.2500 2.8803e+06 2.0181e+06 4.2844e+06 2.1134e+06 4.2027e+06 2.5805e+06 3.2774e+06 2.6248e+06 3.1359e+06
   7.7500 2.2150e+06 1.5736e+06 3.2395e+06 1.6426e+06 3.1797e+06 1.9980e+06 2.5022e+06 2.0236e+06 2.4063e+06
   8.2500 1.7225e+06 1.2394e+06 2.4810e+06 1.2900e+06 2.4365e+06 1.5635e+06 1.9333e+06 1.5773e+06 1.8678e+06
   8.7500 1.3538e+06 9.8518e+05 1.9224e+06 1.0230e+06 1.8888e+06 1.2357e+06 1.5105e+06 1.2420e+06 1.4655e+06
